id,name,file,offset
0,com.facebook.buck.file.HttpArchive,src/com/facebook/buck/file/HttpArchive.java,1750
1,com.facebook.buck.parser.function.BuckPyFunction,src/com/facebook/buck/parser/function/BuckPyFunction.java,1367
2,com.facebook.buck.artifact_cache.thrift.FetchDebugInfo,src-gen/com/facebook/buck/artifact_cache/thrift/FetchDebugInfo.java,189
3,com.facebook.buck.features.python.toolchain.impl.LazyPythonPlatform,src/com/facebook/buck/features/python/toolchain/impl/LazyPythonPlatform.java,1386
4,com.facebook.buck.distributed.thrift.StoreLocalChangesRequest,src-gen/com/facebook/buck/distributed/thrift/StoreLocalChangesRequest.java,186
5,com.facebook.buck.artifact_cache.thrift.ContainsDebugInfo,src-gen/com/facebook/buck/artifact_cache/thrift/ContainsDebugInfo.java,189
6,com.facebook.buck.distributed.thrift.FetchSourceFilesResponse,src-gen/com/facebook/buck/distributed/thrift/FetchSourceFilesResponse.java,186
7,com.facebook.buck.cxx.PreInclude,src/com/facebook/buck/cxx/PreInclude.java,2276
8,com.facebook.buck.distributed.thrift.StartBuildRequest,src-gen/com/facebook/buck/distributed/thrift/StartBuildRequest.java,186
9,com.facebook.buck.distributed.thrift.RemoteExecutionFetchResponse,src-gen/com/facebook/buck/distributed/thrift/RemoteExecutionFetchResponse.java,186
10,com.android.dx.ssa.InterferenceRegisterMapper,third-party/java/dx/src/com/android/dx/ssa/InterferenceRegisterMapper.java,896
11,com.facebook.buck.distributed.thrift.ReportCoordinatorAliveResponse,src-gen/com/facebook/buck/distributed/thrift/ReportCoordinatorAliveResponse.java,186
12,com.facebook.buck.artifact_cache.thrift.BuckCacheRequest,src-gen/com/facebook/buck/artifact_cache/thrift/BuckCacheRequest.java,189
13,com.facebook.buck.doctor.UserInput,src/com/facebook/buck/doctor/UserInput.java,1019
14,com.facebook.buck.features.dotnet.CsharpLibraryCompile,src/com/facebook/buck/features/dotnet/CsharpLibraryCompile.java,1246
15,com.facebook.buck.distributed.thrift.RemoteExecutionStoreResponse,src-gen/com/facebook/buck/distributed/thrift/RemoteExecutionStoreResponse.java,186
16,com.android.dx.ssa.back.FirstFitAllocator,third-party/java/dx/src/com/android/dx/ssa/back/FirstFitAllocator.java,1003
17,com.facebook.buck.cli.AbstractCommand,src/com/facebook/buck/cli/AbstractCommand.java,3802
18,com.facebook.buck.distributed.thrift.DigestAndContent,src-gen/com/facebook/buck/distributed/thrift/DigestAndContent.java,186
19,com.facebook.buck.support.cli.args.PluginBasedCommandHelpPrinter,src/com/facebook/buck/support/cli/args/PluginBasedCommandHelpPrinter.java,937
20,com.facebook.buck.parser.thrift.RemoteDaemonicParserState,src-gen/com/facebook/buck/parser/thrift/RemoteDaemonicParserState.java,181
21,com.facebook.buck.util.environment.Platform,src/com/facebook/buck/util/environment/Platform.java,736
22,com.facebook.buck.distributed.thrift.LogRequestType,src-gen/com/facebook/buck/distributed/thrift/LogRequestType.java,187
23,com.facebook.buck.artifact_cache.thrift.StoreDebugInfo,src-gen/com/facebook/buck/artifact_cache/thrift/StoreDebugInfo.java,189
24,com.facebook.buck.cxx.toolchain.elf.Elf,src/com/facebook/buck/cxx/toolchain/elf/Elf.java,986
25,com.facebook.buck.artifact_cache.thrift.ManifestDeleteResponse,src-gen/com/facebook/buck/artifact_cache/thrift/ManifestDeleteResponse.java,189
26,com.facebook.buck.artifact_cache.thrift.BuckCacheDeleteRequest,src-gen/com/facebook/buck/artifact_cache/thrift/BuckCacheDeleteRequest.java,189
27,com.facebook.buck.distributed.thrift.RemoteExecutionStoreRequest,src-gen/com/facebook/buck/distributed/thrift/RemoteExecutionStoreRequest.java,186
28,com.facebook.buck.features.python.PythonBuckConfig,src/com/facebook/buck/features/python/PythonBuckConfig.java,1277
29,com.facebook.buck.artifact_cache.thrift.DeleteDebugInfo,src-gen/com/facebook/buck/artifact_cache/thrift/DeleteDebugInfo.java,189
30,com.android.dx.cf.code.Ropper,third-party/java/dx/src/com/android/dx/cf/code/Ropper.java,1873
31,com.android.manifmerger.XmlDocument,third-party/java/aosp/src/com/android/manifmerger/XmlDocument.java,1811
32,com.facebook.buck.cli.BuckCommand,src/com/facebook/buck/cli/BuckCommand.java,989
33,com.facebook.buck.features.apple.project.XCodeProjectCommandHelper,src/com/facebook/buck/features/apple/project/XCodeProjectCommandHelper.java,5042
34,com.facebook.buck.cxx.toolchain.elf.ElfSectionHeader,src/com/facebook/buck/cxx/toolchain/elf/ElfSectionHeader.java,682
35,com.facebook.buck.log.thrift.rulekeys.Value,src-gen/com/facebook/buck/log/thrift/rulekeys/Value.java,187
